Metropolitan Oak International,89,Hartsfield-jackson Atlanta International
Dallas/Fort Worth International,1043,Hartsfield-jackson Atlanta International
Boise Air Terminal/Gowen Field,155,Hartsfield-jackson Atlanta International
Mineta San Jose International Airport,110,Hartsfield-jackson Atlanta International
Sacramento International,173,Hartsfield-jackson Atlanta International
Salt Lake City International,327,Hartsfield-jackson Atlanta International
San Diego International Airport,281,Hartsfield-jackson Atlanta International
Honolulu International,285,Hartsfield-jackson Atlanta International
San Francisco International,603,Hartsfield-jackson Atlanta International
Sky Harbor International,421,Hartsfield-jackson Atlanta International
Mc Carran International,589,Hartsfield-jackson Atlanta International
Detroit Metropolitan Wayne County,316,Hartsfield-jackson Atlanta International
Don Miguel Hidalgo y Costilla International,154,Hartsfield-jackson Atlanta International
Portland International,318,Hartsfield-jackson Atlanta International
Guangzhou Baiyun International,43,Hartsfield-jackson Atlanta International
John F Kennedy International,618,Hartsfield-jackson Atlanta International
Austin-bergstrom International,417,Hartsfield-jackson Atlanta International
Palm Springs Metropolitan Area,79,Hartsfield-jackson Atlanta International
Franz Josef Strauss,8,Hartsfield-jackson Atlanta International
Fresno Air Terminal Airport,96,Hartsfield-jackson Atlanta International
Nashville International,393,Hartsfield-jackson Atlanta International
Logan International,639,Hartsfield-jackson Atlanta International
Chicago Ohare International,990,Hartsfield-jackson Atlanta International
Ataturk Airport,103,Hartsfield-jackson Atlanta International
Taiwan Taoyuan International (Chiang Kai Shek International),104,Hartsfield-jackson Atlanta International
Raleigh-durham International Airport,522,Hartsfield-jackson Atlanta International
George Bush Intercontinental,317,Hartsfield-jackson Atlanta International
Seoul (Incheon),329,Hartsfield-jackson Atlanta International
Louis Armstrong New Orléans International Airport,473,Hartsfield-jackson Atlanta International
Charlotte Douglas,378,Hartsfield-jackson Atlanta International
Jacksonville,,436,Hartsfield-jackson Atlanta International
Denver International,465,Hartsfield-jackson Atlanta International
Heathrow,167,Hartsfield-jackson Atlanta International
Snohomish County - Paine Field,9,Hartsfield-jackson Atlanta International
Schiphol,213,Hartsfield-jackson Atlanta International
Indianapolis International,260,Hartsfield-jackson Atlanta International
Clinton Field,13,Hartsfield-jackson Atlanta International
Loreto,4,Hartsfield-jackson Atlanta International
Miami International Airport,946,Hartsfield-jackson Atlanta International
Seattle-Tacoma International,465,Hartsfield-jackson Atlanta International
Arcata,8,Hartsfield-jackson Atlanta International
Reno-Tahoe International,104,Hartsfield-jackson Atlanta International
Love Field,275,Hartsfield-jackson Atlanta International
Shanghai Pudong International,43,Hartsfield-jackson Atlanta International
Ted Stevens Anchorage International Airport,172,Hartsfield-jackson Atlanta International
Tucson International Airport,48,Hartsfield-jackson Atlanta International
Tampa International,500,Hartsfield-jackson Atlanta International
Fort Lauderdale–Hollywood International,452,Hartsfield-jackson Atlanta International
Cancún International,156,Hartsfield-jackson Atlanta International
