airport,flight_type,dep_airport,count,City,state,country,dep_airport_iata
Hartsfield-jackson Atlanta International,ARRIVAL,Denver International,1,Denver,CO,USA,DEN
Hartsfield-jackson Atlanta International,ARRIVAL,Haneda Airport,1,Tokyo,,Japan,HND
Hartsfield-jackson Atlanta International,ARRIVAL,Love Field,1,Dallas,TX,USA,DAL
Hartsfield-jackson Atlanta International,ARRIVAL,Manzanillo,1,Manzanillo,,Mexico,ZLO
Hartsfield-jackson Atlanta International,ARRIVAL,Metropolitan Oak International,1,Oakland,CA,USA,OAK
Hartsfield-jackson Atlanta International,ARRIVAL,Raleigh-durham International Airport,1,Raleigh,NC,USA,RDA
Hartsfield-jackson Atlanta International,ARRIVAL,San Diego International Airport,1,Cockburn,,Bahamas,RCY
Hartsfield-jackson Atlanta International,ARRIVAL,Dallas/Fort Worth International,2,Dallas/Fort Worth,TX,USA,DFW
Hartsfield-jackson Atlanta International,ARRIVAL,El Salvador International,2,San Luis Talpa,,El Salvador,SAL
Hartsfield-jackson Atlanta International,ARRIVAL,Franz Josef Strauss,2,Munich,,Germany,MUC
Hartsfield-jackson Atlanta International,ARRIVAL,Fresno Air Terminal Airport,2,Fresno,CA,USA,FAT
Hartsfield-jackson Atlanta International,ARRIVAL,George Bush Intercontinental,2,Houston,TX,USA,IAH
Hartsfield-jackson Atlanta International,ARRIVAL,Sky Harbor International,2,Phoenix,AZ,USA,PHX
Hartsfield-jackson Atlanta International,ARRIVAL,Boise Air Terminal/Gowen Field,3,Boise,ID,USA,BOI
Hartsfield-jackson Atlanta International,ARRIVAL,Mineta San Jose International Airport,3,San Jose,CA,USA,SJC
Hartsfield-jackson Atlanta International,ARRIVAL,Taiwan Taoyuan International (Chiang Kai Shek International),3,Taipei, ,Taiwan,TPE
Hartsfield-jackson Atlanta International,ARRIVAL,Nashville International,4,Nashville,TN,USA,BNA
Hartsfield-jackson Atlanta International,ARRIVAL,Seattle-Tacoma International,4,Seattle,WA,USA,SEA
