,flight_number,iata,icao,arrival_airport,terminal,gate,baggage,delay,scheduled,estimated,actual,estimated_runway,actual_runway,flight_type,airline_id,airport_id
0,265,AS265,ASA265,Los Angeles International,6,67,,,2021-04-24T15:53:00+00:00,2021-04-24T15:53:00+00:00,2021-04-24T15:42:00+00:00,2021-04-24T15:42:00+00:00,2021-04-24T15:42:00+00:00,ARRIVAL,,194
1,535,WN535,SWA535,Los Angeles International,1,18A,,,2021-04-24T20:00:00+00:00,2021-04-24T20:00:00+00:00,2021-04-24T19:35:00+00:00,2021-04-24T19:35:00+00:00,2021-04-24T19:35:00+00:00,ARRIVAL,,194
2,510,NK510,NKS510,Los Angeles International,5,56,,,2021-04-24T19:59:00+00:00,2021-04-24T19:59:00+00:00,2021-04-24T19:44:00+00:00,2021-04-24T19:44:00+00:00,2021-04-24T19:44:00+00:00,ARRIVAL,,194
3,4259,WN4259,SWA4259,Los Angeles International,1,18A,,,2021-04-24T22:10:00+00:00,2021-04-24T22:10:00+00:00,,,,ARRIVAL,,194
4,215,UA215,UAL215,Los Angeles International,7,75B,2,,2021-04-24T13:10:00+00:00,2021-04-24T13:10:00+00:00,2021-04-24T12:59:00+00:00,2021-04-24T12:59:00+00:00,2021-04-24T12:59:00+00:00,ARRIVAL,,194
5,2742,QR2742,QTR2742,Los Angeles International,4,49A,T4C2,67.0,2021-04-24T13:57:00+00:00,2021-04-24T13:57:00+00:00,,,,ARRIVAL,,194
6,1193,TN1193,THT1193,Los Angeles International,4,49A,T4C2,67.0,2021-04-24T13:57:00+00:00,2021-04-24T13:57:00+00:00,,,,ARRIVAL,,194
7,1331,AA1331,AAL1331,Los Angeles International,4,49A,T4C2,67.0,2021-04-24T13:57:00+00:00,2021-04-24T13:57:00+00:00,,,,ARRIVAL,,194
8,3303,AS3303,ASA3303,Los Angeles International,6,62,,,2021-04-24T14:05:00+00:00,2021-04-24T14:05:00+00:00,2021-04-24T13:47:00+00:00,2021-04-24T13:47:00+00:00,2021-04-24T13:47:00+00:00,ARRIVAL,,194
9,3071,EK3071,UAE3071,Los Angeles International,6,62,,,2021-04-24T14:05:00+00:00,2021-04-24T14:05:00+00:00,2021-04-24T13:47:00+00:00,2021-04-24T13:47:00+00:00,2021-04-24T13:47:00+00:00,ARRIVAL,,194
10,7563,AA7563,AAL7563,Los Angeles International,6,62,,,2021-04-24T14:05:00+00:00,2021-04-24T14:05:00+00:00,2021-04-24T13:47:00+00:00,2021-04-24T13:47:00+00:00,2021-04-24T13:47:00+00:00,ARRIVAL,,194
11,2224,UA2224,UAL2224,Los Angeles International,7,71B,1,1.0,2021-04-24T14:02:00+00:00,2021-04-24T14:02:00+00:00,2021-04-24T13:58:00+00:00,2021-04-24T13:58:00+00:00,2021-04-24T13:58:00+00:00,ARRIVAL,,194
12,200,P9200,MGE200,Los Angeles International,4,,,,2021-04-24T13:30:00+00:00,2021-04-24T13:30:00+00:00,,,,ARRIVAL,,194
13,444,AS444,ASA444,Los Angeles International,6,67,,,2021-04-24T13:00:00+00:00,2021-04-24T13:00:00+00:00,,,,ARRIVAL,,194
14,3423,AS3423,ASA3423,Los Angeles International,6,69B,,,2021-04-24T11:47:00+00:00,2021-04-24T11:47:00+00:00,2021-04-24T11:30:00+00:00,2021-04-24T11:30:00+00:00,2021-04-24T11:30:00+00:00,ARRIVAL,,194
15,1737,SQ1737,SIA1737,Los Angeles International,6,69B,,,2021-04-24T11:47:00+00:00,2021-04-24T11:47:00+00:00,2021-04-24T11:30:00+00:00,2021-04-24T11:30:00+00:00,2021-04-24T11:30:00+00:00,ARRIVAL,,194
16,3115,EK3115,UAE3115,Los Angeles International,6,69B,,,2021-04-24T11:47:00+00:00,2021-04-24T11:47:00+00:00,2021-04-24T11:30:00+00:00,2021-04-24T11:30:00+00:00,2021-04-24T11:30:00+00:00,ARRIVAL,,194
17,5513,UA5513,UAL5513,Los Angeles International,8,86B,4,,2021-04-24T12:02:00+00:00,2021-04-24T12:02:00+00:00,2021-04-24T11:42:00+00:00,2021-04-24T11:42:00+00:00,2021-04-24T11:42:00+00:00,ARRIVAL,,194
18,2387,AV2387,AVA2387,Los Angeles International,8,86B,4,,2021-04-24T12:02:00+00:00,2021-04-24T12:02:00+00:00,,,,ARRIVAL,,194
19,9087,NZ9087,ANZ9087,Los Angeles International,8,86B,4,,2021-04-24T12:02:00+00:00,2021-04-24T12:02:00+00:00,2021-04-24T11:42:00+00:00,2021-04-24T11:42:00+00:00,2021-04-24T11:42:00+00:00,ARRIVAL,,194
20,1142,DL1142,DAL1142,Los Angeles International,2,26,,,2021-04-24T12:59:00+00:00,2021-04-24T12:59:00+00:00,2021-04-24T12:48:00+00:00,2021-04-24T12:48:00+00:00,2021-04-24T12:48:00+00:00,ARRIVAL,,194
21,7216,WS7216,WJA7216,Los Angeles International,2,26,,,2021-04-24T12:59:00+00:00,2021-04-24T12:59:00+00:00,2021-04-24T12:48:00+00:00,2021-04-24T12:48:00+00:00,2021-04-24T12:48:00+00:00,ARRIVAL,,194
22,1963,VS1963,VIR1963,Los Angeles International,2,26,,,2021-04-24T12:59:00+00:00,2021-04-24T12:59:00+00:00,2021-04-24T12:48:00+00:00,2021-04-24T12:48:00+00:00,2021-04-24T12:48:00+00:00,ARRIVAL,,194
23,117,AA117,AAL117,Los Angeles International,4,45,T4C2,,2021-04-24T17:19:00+00:00,2021-04-24T17:19:00+00:00,,,,ARRIVAL,,194
24,4043,DL4043,DAL4043,Los Angeles International,2,27,,,2021-04-24T13:08:00+00:00,2021-04-24T13:08:00+00:00,2021-04-24T12:51:00+00:00,2021-04-24T12:51:00+00:00,2021-04-24T12:51:00+00:00,ARRIVAL,,194
25,2649,AF2649,AFR2649,Los Angeles International,2,27,,,2021-04-24T13:08:00+00:00,2021-04-24T13:08:00+00:00,2021-04-24T12:51:00+00:00,2021-04-24T12:51:00+00:00,2021-04-24T12:51:00+00:00,ARRIVAL,,194
26,5793,UA5793,UAL5793,Los Angeles International,8,81,4,,2021-04-24T11:29:00+00:00,2021-04-24T11:29:00+00:00,2021-04-24T11:09:00+00:00,2021-04-24T11:09:00+00:00,2021-04-24T11:09:00+00:00,ARRIVAL,,194
27,6235,OZ6235,AAR6235,Los Angeles International,8,81,4,,2021-04-24T11:29:00+00:00,2021-04-24T11:29:00+00:00,2021-04-24T11:09:00+00:00,2021-04-24T11:09:00+00:00,2021-04-24T11:09:00+00:00,ARRIVAL,,194
28,8893,LH8893,DLH8893,Los Angeles International,8,81,4,,2021-04-24T11:29:00+00:00,2021-04-24T11:29:00+00:00,2021-04-24T11:09:00+00:00,2021-04-24T11:09:00+00:00,2021-04-24T11:09:00+00:00,ARRIVAL,,194
29,496,DL496,DAL496,Los Angeles International,2,24,,,2021-04-24T16:35:00+00:00,2021-04-24T16:35:00+00:00,2021-04-24T16:25:00+00:00,2021-04-24T16:25:00+00:00,2021-04-24T16:25:00+00:00,ARRIVAL,,194
