,flight_number,iata,icao,departure_airport,terminal,gate,delay,scheduled,estimated,actual,estimated_runway,actual_runway,flight_type,airline_id,airport_id
0,265,AS265,ASA265,Manzanillo,1,HG,6.0,2021-04-24T14:35:00+00:00,2021-04-24T14:35:00+00:00,2021-04-24T14:40:00+00:00,2021-04-24T14:40:00+00:00,2021-04-24T14:40:00+00:00,DEPARTURE,,1
1,535,WN535,SWA535,Metropolitan Oak International,2,26,7.0,2021-04-24T18:35:00+00:00,2021-04-24T18:35:00+00:00,2021-04-24T18:42:00+00:00,2021-04-24T18:42:00+00:00,2021-04-24T18:42:00+00:00,DEPARTURE,,2
2,510,NK510,NKS510,Metropolitan Oak International,1,7,9.0,2021-04-24T18:40:00+00:00,2021-04-24T18:40:00+00:00,2021-04-24T18:49:00+00:00,2021-04-24T18:49:00+00:00,2021-04-24T18:49:00+00:00,DEPARTURE,,2
3,4259,WN4259,SWA4259,Love Field,1,7,12.0,2021-04-24T20:45:00+00:00,2021-04-24T20:45:00+00:00,2021-04-24T20:56:00+00:00,2021-04-24T20:56:00+00:00,2021-04-24T20:56:00+00:00,DEPARTURE,,3
4,215,UA215,UAL215,Denver International,,B47,11.0,2021-04-24T11:44:00+00:00,2021-04-24T11:44:00+00:00,2021-04-24T11:54:00+00:00,2021-04-24T11:54:00+00:00,2021-04-24T11:54:00+00:00,DEPARTURE,,4
5,2742,QR2742,QTR2742,Dallas/Fort Worth International,A,A17,101.0,2021-04-24T12:30:00+00:00,2021-04-24T12:30:00+00:00,2021-04-24T14:11:00+00:00,2021-04-24T14:11:00+00:00,2021-04-24T14:11:00+00:00,DEPARTURE,,5
6,1193,TN1193,THT1193,Dallas/Fort Worth International,A,A17,101.0,2021-04-24T12:30:00+00:00,2021-04-24T12:30:00+00:00,2021-04-24T14:11:00+00:00,2021-04-24T14:11:00+00:00,2021-04-24T14:11:00+00:00,DEPARTURE,,5
7,1331,AA1331,AAL1331,Dallas/Fort Worth International,A,A17,101.0,2021-04-24T12:30:00+00:00,2021-04-24T12:30:00+00:00,2021-04-24T14:11:00+00:00,2021-04-24T14:11:00+00:00,2021-04-24T14:11:00+00:00,DEPARTURE,,5
8,3303,AS3303,ASA3303,Boise Air Terminal/Gowen Field,,C6,6.0,2021-04-24T12:45:00+00:00,2021-04-24T12:45:00+00:00,2021-04-24T12:50:00+00:00,2021-04-24T12:50:00+00:00,2021-04-24T12:50:00+00:00,DEPARTURE,,6
9,3071,EK3071,UAE3071,Boise Air Terminal/Gowen Field,,C6,6.0,2021-04-24T12:45:00+00:00,2021-04-24T12:45:00+00:00,2021-04-24T12:50:00+00:00,2021-04-24T12:50:00+00:00,2021-04-24T12:50:00+00:00,DEPARTURE,,6
10,7563,AA7563,AAL7563,Boise Air Terminal/Gowen Field,,C6,6.0,2021-04-24T12:45:00+00:00,2021-04-24T12:45:00+00:00,2021-04-24T12:50:00+00:00,2021-04-24T12:50:00+00:00,2021-04-24T12:50:00+00:00,DEPARTURE,,6
11,2224,UA2224,UAL2224,George Bush Intercontinental,C,12,24.0,2021-04-24T12:20:00+00:00,2021-04-24T12:20:00+00:00,2021-04-24T12:44:00+00:00,2021-04-24T12:44:00+00:00,2021-04-24T12:44:00+00:00,DEPARTURE,,7
12,200,P9200,MGE200,Seattle-Tacoma International,,,,2021-04-24T10:30:00+00:00,2021-04-24T10:30:00+00:00,,,,DEPARTURE,,8
13,444,AS444,ASA444,Seattle-Tacoma International,,S6,29.0,2021-04-24T10:15:00+00:00,2021-04-24T10:15:00+00:00,,,,DEPARTURE,,8
14,3423,AS3423,ASA3423,Mineta San Jose International Airport,B,22,21.0,2021-04-24T10:15:00+00:00,2021-04-24T10:15:00+00:00,2021-04-24T10:36:00+00:00,2021-04-24T10:36:00+00:00,2021-04-24T10:36:00+00:00,DEPARTURE,,9
15,1737,SQ1737,SIA1737,Mineta San Jose International Airport,B,22,21.0,2021-04-24T10:15:00+00:00,2021-04-24T10:15:00+00:00,2021-04-24T10:36:00+00:00,2021-04-24T10:36:00+00:00,2021-04-24T10:36:00+00:00,DEPARTURE,,9
16,3115,EK3115,UAE3115,Mineta San Jose International Airport,B,22,21.0,2021-04-24T10:15:00+00:00,2021-04-24T10:15:00+00:00,2021-04-24T10:36:00+00:00,2021-04-24T10:36:00+00:00,2021-04-24T10:36:00+00:00,DEPARTURE,,9
17,5513,UA5513,UAL5513,Sacramento International,A,15,7.0,2021-04-24T10:31:00+00:00,2021-04-24T10:31:00+00:00,2021-04-24T10:38:00+00:00,2021-04-24T10:38:00+00:00,2021-04-24T10:38:00+00:00,DEPARTURE,,10
18,2387,AV2387,AVA2387,Sacramento International,A,15,7.0,2021-04-24T10:31:00+00:00,2021-04-24T10:31:00+00:00,2021-04-24T10:38:00+00:00,2021-04-24T10:38:00+00:00,2021-04-24T10:38:00+00:00,DEPARTURE,,10
19,9087,NZ9087,ANZ9087,Sacramento International,A,15,7.0,2021-04-24T10:31:00+00:00,2021-04-24T10:31:00+00:00,2021-04-24T10:38:00+00:00,2021-04-24T10:38:00+00:00,2021-04-24T10:38:00+00:00,DEPARTURE,,10
20,1142,DL1142,DAL1142,Salt Lake City International,,A18,22.0,2021-04-24T11:56:00+00:00,2021-04-24T11:56:00+00:00,2021-04-24T12:17:00+00:00,2021-04-24T12:17:00+00:00,2021-04-24T12:17:00+00:00,DEPARTURE,,11
21,7216,WS7216,WJA7216,Salt Lake City International,,A18,22.0,2021-04-24T11:56:00+00:00,2021-04-24T11:56:00+00:00,2021-04-24T12:17:00+00:00,2021-04-24T12:17:00+00:00,2021-04-24T12:17:00+00:00,DEPARTURE,,11
22,1963,VS1963,VIR1963,Salt Lake City International,,A18,22.0,2021-04-24T11:56:00+00:00,2021-04-24T11:56:00+00:00,2021-04-24T12:17:00+00:00,2021-04-24T12:17:00+00:00,2021-04-24T12:17:00+00:00,DEPARTURE,,11
23,117,AA117,AAL117,John F Kennedy International,8,35,15.0,2021-04-24T14:00:00+00:00,2021-04-24T14:00:00+00:00,,,,DEPARTURE,,12
24,4043,DL4043,DAL4043,Portland International,,D9,6.0,2021-04-24T10:40:00+00:00,2021-04-24T10:40:00+00:00,2021-04-24T10:46:00+00:00,2021-04-24T10:46:00+00:00,2021-04-24T10:46:00+00:00,DEPARTURE,,13
25,2649,AF2649,AFR2649,Portland International,,D9,6.0,2021-04-24T10:40:00+00:00,2021-04-24T10:40:00+00:00,2021-04-24T10:46:00+00:00,2021-04-24T10:46:00+00:00,2021-04-24T10:46:00+00:00,DEPARTURE,,13
26,5793,UA5793,UAL5793,San Diego International Airport,2,43,8.0,2021-04-24T10:35:00+00:00,2021-04-24T10:35:00+00:00,2021-04-24T10:43:00+00:00,2021-04-24T10:43:00+00:00,2021-04-24T10:43:00+00:00,DEPARTURE,,14
27,6235,OZ6235,AAR6235,San Diego International Airport,2,43,8.0,2021-04-24T10:35:00+00:00,2021-04-24T10:35:00+00:00,2021-04-24T10:43:00+00:00,2021-04-24T10:43:00+00:00,2021-04-24T10:43:00+00:00,DEPARTURE,,14
28,8893,LH8893,DLH8893,San Diego International Airport,2,43,8.0,2021-04-24T10:35:00+00:00,2021-04-24T10:35:00+00:00,2021-04-24T10:43:00+00:00,2021-04-24T10:43:00+00:00,2021-04-24T10:43:00+00:00,DEPARTURE,,14
29,496,DL496,DAL496,Honolulu International,2,E5,6.0,2021-04-24T08:01:00+00:00,2021-04-24T08:01:00+00:00,2021-04-24T08:07:00+00:00,2021-04-24T08:07:00+00:00,2021-04-24T08:07:00+00:00,DEPARTURE,,15
30,1783,VS1783,VIR1783,Honolulu International,2,E5,6.0,2021-04-24T08:01:00+00:00,2021-04-24T08:01:00+00:00,2021-04-24T08:07:00+00:00,2021-04-24T08:07:00+00:00,2021-04-24T08:07:00+00:00,DEPARTURE,,15
31,3591,AM3591,AMX3591,Honolulu International,2,E5,6.0,2021-04-24T08:01:00+00:00,2021-04-24T08:01:00+00:00,2021-04-24T08:07:00+00:00,2021-04-24T08:07:00+00:00,2021-04-24T08:07:00+00:00,DEPARTURE,,15
32,7523,JL7523,JTL7523,Chicago Ohare International,3,H18,20.0,2021-04-24T06:30:00+00:00,2021-04-24T06:30:00+00:00,2021-04-24T06:50:00+00:00,2021-04-24T06:50:00+00:00,2021-04-24T06:50:00+00:00,DEPARTURE,,16
33,9583,MH9583,MAS9583,Chicago Ohare International,3,H18,20.0,2021-04-24T06:30:00+00:00,2021-04-24T06:30:00+00:00,2021-04-24T06:50:00+00:00,2021-04-24T06:50:00+00:00,2021-04-24T06:50:00+00:00,DEPARTURE,,16
34,669,AA669,AAL669,Chicago Ohare International,3,H18,20.0,2021-04-24T06:30:00+00:00,2021-04-24T06:30:00+00:00,2021-04-24T06:50:00+00:00,2021-04-24T06:50:00+00:00,2021-04-24T06:50:00+00:00,DEPARTURE,,16
35,4515,DL4515,DAL4515,Sky Harbor International,3,F7,9.0,2021-04-24T10:55:00+00:00,2021-04-24T10:55:00+00:00,2021-04-24T11:03:00+00:00,2021-04-24T11:03:00+00:00,2021-04-24T11:03:00+00:00,DEPARTURE,,17
36,256,UA256,UAL256,San Francisco International,3,E7,14.0,2021-04-24T10:35:00+00:00,2021-04-24T10:35:00+00:00,2021-04-24T10:48:00+00:00,2021-04-24T10:48:00+00:00,2021-04-24T10:48:00+00:00,DEPARTURE,,18
37,2951,AA2951,AAL2951,Sky Harbor International,4,B18,18.0,2021-04-24T09:51:00+00:00,2021-04-24T09:51:00+00:00,2021-04-24T10:08:00+00:00,2021-04-24T10:08:00+00:00,2021-04-24T10:08:00+00:00,DEPARTURE,,17
38,385,DL385,DAL385,Seattle-Tacoma International,,A1,19.0,2021-04-24T10:03:00+00:00,2021-04-24T10:03:00+00:00,2021-04-24T10:21:00+00:00,2021-04-24T10:21:00+00:00,2021-04-24T10:21:00+00:00,DEPARTURE,,8
39,365,DL365,DAL365,Hartsfield-jackson Atlanta International,S,A12,15.0,2021-04-24T12:34:00+00:00,2021-04-24T12:34:00+00:00,2021-04-24T12:49:00+00:00,2021-04-24T12:49:00+00:00,2021-04-24T12:49:00+00:00,DEPARTURE,,19
40,3947,DL3947,DAL3947,Mc Carran International,1,D40,10.0,2021-04-24T09:19:00+00:00,2021-04-24T09:19:00+00:00,2021-04-24T09:29:00+00:00,2021-04-24T09:29:00+00:00,2021-04-24T09:29:00+00:00,DEPARTURE,,20
41,6399,WS6399,WJA6399,Mc Carran International,1,D40,10.0,2021-04-24T09:19:00+00:00,2021-04-24T09:19:00+00:00,2021-04-24T09:29:00+00:00,2021-04-24T09:29:00+00:00,2021-04-24T09:29:00+00:00,DEPARTURE,,20
42,4182,VS4182,VIR4182,Mc Carran International,1,D40,10.0,2021-04-24T09:19:00+00:00,2021-04-24T09:19:00+00:00,2021-04-24T09:29:00+00:00,2021-04-24T09:29:00+00:00,2021-04-24T09:29:00+00:00,DEPARTURE,,20
